Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.0,inf,20,0.95,False,inf,0.08264146799967875,20,0,0,1100.0230436170098,12000,inf,1130.3144674389998
SoRB,0.0,0.0,20,0.95,False,5.0,0.014110286999311938,20,1,0,981.1915191640114,11401,inf,1008.537468553
SoRB,0.0,5000.0,20,0.95,False,5.0,0.015324635996876168,20,1,0,1028.5296079870586,11401,9086.559350434,1056.340493234
SoRB,0.0,10000.0,20,0.95,False,5.0,0.014676156999485102,20,1,0,1023.1815360510736,11401,10933.367613540999,1050.9855227739972
