Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.0,inf,20,0.95,False,inf,0.01905188200001362,20,14,9,726.2373660229997,3614,inf,735.8267704780001
SoRB,0.15,0.0,20,0.95,False,3.0,0.006164740000031088,20,17,12,617.6914339569997,371,inf,618.8188067140001
SoRB,0.15,2000.0,20,0.95,False,3.0,0.005655783000293013,20,17,8,544.897882541999,350,6257.701241345,545.8603312540008
