Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.05,inf,20,0.95,False,inf,0.028098370999941835,20,11,9,699.5023128629941,4939,inf,711.6188757049999
SoRB,0.0,0.0,20,0.95,False,5.0,0.007587449999732598,20,17,10,569.477640993001,1817,inf,573.7735977650001
SoRB,0.35,5000.0,20,0.95,False,5.0,0.013535072000195214,20,13,5,551.2232227059912,845,5972.191145430999,553.3615250420007
SoRB,0.35,10000.0,20,0.95,False,5.0,0.01683532100469165,20,12,7,572.0156048280278,1397,4439.996773162001,575.5516423860008
